col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
"A Rake's Progress, Plate 6",1750-01-01,[0]
Borago cretica,,[0]
Triomfboog voor het vroegere huis van de Fuggers,1602-01-01,[0]
Venerable Remains of London Wall,1800-01-01,[0]
The Monument of King Edward and his brother Richard,,[0]
Portrait of a Man (Duke of Bridgewater ?),,[0]
David Playing the Harp before Saul,1589-01-01,[0]
David Playing the Harp before Saul,1589-01-01,[0]
"Vignette: lettered ""Bono Eventui""",,[0]
Allium lacteum,,[0]
"Theatre Royal, Haymarket",1823-01-01,[0]
A Man and Woman Singing,1781-01-01,[0]
Palacio dos Condes de Alvôr,,[0]
Aegilops comosa,,[0]
Poenitentia,1587-01-01,[0]
