col0,col1,col2,col3,"Metadata:CTA:[0, 3],CPA:[[0, 1], [0, 2], [0, 3]]"
Captain Bluebear,The 13½ Lives of Captain Bluebear,male,,"[0, 1, 2]"
Judge Holmsby,The Misadventures of Merlin Jones,male,,"[0, 1, 2]"
Ash,Alien,male,,"[0, 1, 2]"
Michael Leary,Third Person,male,,"[0, 1, 2]"
Goofy,Disney Dreamlight Valley,male,,"[0, 1, 2]"
Hook-Handed Man,A Series of Unfortunate Events,male,,"[0, 1, 2]"
Chris Redfield,Resident Evil 2,male,,"[0, 1, 2]"
Larry Talbot,The Wolfman,male,,"[0, 1, 2]"
Dumbo,Dumbo,male organism,,"[0, 1, 2]"
Buffalo Bill,Hannibal Lecter,male,ballistic trauma,"[0, 1, 2, 3]"
Penny (Inspector Gadget),Inspector Gadget 2,female,,"[0, 1, 2]"
Julia,Nineteen Eighty-Four,female,,"[0, 1, 2]"
Quicksilver,Dark Phoenix,male,,"[0, 1, 2]"
King Brian,Darby O'Gill and the Little People,male,,"[0, 1, 2]"
Defense Secretary,The Absent-Minded Professor,male,,"[0, 1, 2]"
Billy Lenz,Black Christmas,male,,"[0, 1, 2]"
Clear Rivers,Final Destination,female,,"[0, 1, 2]"
Vaneé,Rogue One: A Star Wars Story,male,,"[0, 1, 2]"
Sakura Ogawa,Battle Royale,female,,"[0, 1, 2]"
Seth,Race to Witch Mountain,male,,"[0, 1, 2]"
Mason Dixon,Rocky Balboa,male,,"[0, 1, 2]"
Mas Amedda,Star Wars: Episode I – The Phantom Menace,male,,"[0, 1, 2]"
Nurse Billy,Doctor Strange,male,,"[0, 1, 2]"
