col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 2], [0, 1], [0, 3]]"
Ibara sumiyoshi,24.5,Museum of Fine Arts Boston,Ibara Sumiyoshi Shrine,"[0, 2]"
The Making of Silk Floss 10,38.1,Asian Art,,"[0, 2]"
"Fine Wind, Clear Morning",25.72,British Museum,"South Wind, Clear Sky","[0, 2]"
The Small Passion: The Ascension,,Metropolitan Museum of Art,The Small Passion: The Ascension,"[0, 2]"
The combat on foot with daggers,22.4,British Museum,The combat on foot with daggers,"[0, 2]"
Tennō-ji masui,24.5,Museum of Fine Arts Boston,Masui Well at Tennô-ji Temple,"[0, 2]"
Saint Simon,,Prints in the National Gallery of Art,Saint Simon,"[0, 2]"
The Fall of Man,,Prints in the National Gallery of Art,The Fall of Man,"[0, 2]"
The Fall of Man,12.9,Prints in the National Gallery of Art,The Fall of Man,"[0, 2]"
Old Letterpapers from the Wisteria Studio,,Rhode Island School of Design,Old Letterpapers from the Wisteria Studio,"[0, 2]"
Kyōbashi,24.5,Museum of Fine Arts Boston,Kyô-bashi Bridge,"[0, 2]"
Sankatsu and Hanshichi,62.2,Asian Art,,"[0, 2]"
Juhō-ji,24.5,Museum of Fine Arts Boston,Juhô-ji Temple,"[0, 2]"
The Kiss,19.1,Museumslandschaft Hessen Kassel,,"[0, 2]"
Imamiya ebisu no miya,24.8,Museum of Fine Arts Boston,Imamiya Ebisu Shrine,"[0, 2]"
Christ being crowned with thorns,,Prints in the National Gallery of Art,Christ Crowned with Thorns,"[0, 2]"
Drunken Silenus,442.0,Musea Brugge,,"[0, 2]"
