col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Brochier,0.801,4966,[0]
Porto Velho,0.736,460413,[0]
Aracaju,0.77,632744,[0]
Montenegro,0.755,65721,[0]
Potirendaba,0.805,18496,[0]
Potengi,0.596,8833,[0]
Campina Verde,0.704,18011,[0]
Itajobi,0.798,16989,[0]
Centralina,0.75,10207,[0]
Bento de Abreu,0.802,3005,[0]
Quatro Barras,0.774,24191,[0]
Normandia,0.594,13669,[0]
Medeiros Neto,,22194,[0]
Barroso,0.745,20080,[0]
Buritama,0.79,16583,[0]
Guaraciaba,0.751,10796,[0]
Boituva,0.798,62170,[0]
Espumoso,0.787,15173,[0]
Cedro,0.672,10518,[0]
