data,candidates,QID,row,columns,quality,description,aliases,P31,P279,sitelink
Sarh,Sarh,Q337530,0,0,1,city in Chad,Sahr,Q515,,Sarh
Sarh,Khyber Pakhtunkhwa,Q183314,0,0,1,province of Pakistan,KPK|KP|Sarhad Province,Q15058985,,Khyber Pakhtunkhwa
Sarh,Sarhan,Q37226440,0,0,1,family name,,Q101352,,
Sarh,Secretariat of Agriculture and Water Resources,Q16629554,0,0,1,defunct Mexican government agency,SARH|Ministry of Agriculture and Water Resources,Q1364302,,
Sarh,Sarhoş Ahmed Pasha,Q56692153,0,0,1,,Sarhoş Ahmed Paşa,Q5,,
Sarh,Sarh,Q24065234,0,0,1,impact crater on Mars,,Q1475691,,Sarh (crater)
Sarh,Sarhad,Q100705257,0,0,1,German rapper,Sarhad Sagvan Abdulkhaleq,Q5,,
Sarh,Sarh,Q86588353,0,0,1,female given name,,Q11879590,,
Sarh,Sarhan,Q6579672,0,0,1,"village in Refahiye, Erzincan, eastern Turkey",,Q1529096,,"Sarhan, Refahiye"
Sarh,Sarhad Journal of Agriculture,Q96333461,0,0,1,UK scientific journal,,Q5633421,,
A State of Vrance 2010,Vrancea County,Q182778,1,0,2,county in Romania,,Q1776764,,Vrancea County
A State of Vrance 2010,Vranče,Q2374314,1,0,2,village in North Macedonia,,Q532,,Vranče
A State of Vrance 2010,Vrancea Mountains,Q897450,1,0,2,mountain range,,Q46831,,Vrancea Mountains
A State of Vrance 2010,Vrancea,Q12090823,1,0,2,"village in Mehedinți County, Romania",,Q532,,
A State of Vrance 2010,Vrânceni,Q12090838,1,0,2,"village in Bacău County, Romania",,Q532,,
A State of Vrance 2010,Vrancea County Council,Q89485223,1,0,2,"elected assembly of Vrancea County, Romania",,Q12725398,,
A State of Vrance 2010,Vrancea County councillor,Q89588667,1,0,2,,,Q4164871,,
A State of Vrance 2010,Vrănceanu,Q107254828,1,0,2,family name,,Q101352,,
A State of Vrance 2010,Vrancea Sports Hall,Q111913210,1,0,2,,,,,Vrancea Sports Hall
A State of Vrance 2010,Vrancea,Q107446799,1,0,2,family name,,Q101352,,
Annya Haa,,,2,0,0,,,,,
oger,Oger,Q37440268,3,0,1,family name,,Q101352,,
oger,Ogre,Q731915,3,0,1,state city of Latvia and capital of Ogre Municipality,Ogershof|Uogrė,Q109329953|Q15584664,,"Ogre, Latvia"
oger,Öger,Q106300685,3,0,1,family name,Öger (family name)|Öger (surname),Q101352,,
oger,Oger Moriset,Q16027424,3,0,1,,,Q5,,
oger,Oger,Q1228972,3,0,1,"former commune in Marne, France",,Q484170|Q21869758,,"Oger, Marne"
oger,Ogeria,Q110652352,3,0,1,genus of insects,,Q16521,,
oger,Ogerta Manastirliu,Q31669464,3,0,1,Albanian politician,,Q5,,Ogerta Manastirliu
oger,Ogerius,Q11796639,3,0,1,catholic bishop,,Q5,,
oger,Oger,Q63489888,3,0,1,operatic character in the opera Melusine,,Q50386450|Q15632617,,
oger,Oger Jean van der Straeten,Q110639512,3,0,1,6 Nov 1661 Château de Waillet - 1 Sep 1726,,Q5,,
Straigt Between whe Eye,,,4,0,0,,,,,
Quefn,,,5,0,0,,,,,
Plalist: The Very Best of Backstreet Boys,Backstreet Boys,Q17140,6,0,2,American musical group; boy band,BSB,Q215380,,Backstreet Boys
Plalist: The Very Best of Backstreet Boys,Backstreet Boys,Q1138551,6,0,2,1996 self-titled debut studio album by the Backstreet Boys,,Q482994,,Backstreet Boys (1996 album)
Plalist: The Very Best of Backstreet Boys,Backstreet Boys,Q1139548,6,0,2,1997 self-titled compilation album by the Backstreet Boys,,Q482994,,Backstreet Boys (1997 album)
Plalist: The Very Best of Backstreet Boys,Backstreet Boys,Q125446174,6,0,2,episode of All That (S5 E15),,Q21191270,,
Plalist: The Very Best of Backstreet Boys,Backstreet Boys,Q125446148,6,0,2,episode of All That (S4 E12),,Q21191270,,
Plalist: The Very Best of Backstreet Boys,Backstreet Boys' albums in chronological order,Q68359256,6,0,2,Wikimedia albums discography,Backstreet Boys albums discography|Backstreet Boys discography - albums,Q59191021,,
Plalist: The Very Best of Backstreet Boys,Backstreet Boys discography,Q798532,6,0,2,Wikimedia band discography,discography of Backstreet Boys,Q104635718,,Backstreet Boys discography
Plalist: The Very Best of Backstreet Boys,Backstreet Boys: Larger Than Life,Q28919064,6,0,2,Concert tour,,Q1573906,,Backstreet Boys: Larger Than Life
Plalist: The Very Best of Backstreet Boys,Backstreet Boys: Live in Concert Tour,Q4839766,6,0,2,1997 concert tour,,Q1573906,,Backstreet Boys: Live in Concert Tour
Plalist: The Very Best of Backstreet Boys,Backstreet Boys compilation albums discography,Q68359472,6,0,2,Wikimedia compilation albums discography,Backstreet Boys discography - compilation albums|discography of Backstreet Boys compilation albums,Q61033736,,
Plalist: The Very Best of Backstreet Boys,Playlist: The Very Best of Backstreet Boys,Q1057857,6,0,2,2010 compilation album by Backstreet Boys,,Q482994,,Playlist: The Very Best of Backstreet Boys
I See a Dbrkness,I See a Darkness,Q847362,7,0,2,"1999 studio album by Bonnie ""Prince"" Billy",,Q482994,,I See a Darkness
I See a Dbrkness,I See a Darkness,Q114540382,7,0,2,episode of Wynonna Earp (S2 E10),,Q21191270,,
I See a Dbrkness,I See a Darkness,Q124418892,7,0,2,vocal track by Steve Adey; 2006 studio recording; cover version,,Q55850593,,
I See a Dbrkness,I See a Darkness,Q124418604,7,0,2,"vocal track by Bonnie ""Prince"" Billy; 1999 studio recording",,Q55850593,,
I See a Dbrkness,I See a Darkness,Q124418620,7,0,2,original song written and composed by Will Oldham,,Q105543609,,
I See a Dbrkness,I See a Darkness,Q124418706,7,0,2,vocal track by Johnny Cash; 2000 studio recording; cover version,,Q55850593,,
I See a Dbrkness,I See a Darkness,Q124418908,7,0,2,vocal track by ROSALÍA; 2016 studio recording; cover version,,Q55850593,,
Iotrospective,,,8,0,0,,,,,
Invrospective,,,9,0,0,,,,,
Crysal Empire,Crystal Empire,Q15711342,10,0,2,fictional place in My Little Pony‘s Equestria,,Q1145276,,
Crysal Empire,Crystal Empire,Q1444665,10,0,2,album by Freedom Call,,Q482994,,Crystal Empire
Crysal Empire,Crystal Empire Games,Q33189088,10,0,2,video game developer,,Q210167,,
iye Evil,,,11,0,0,,,,,
Sweet Baby Jamev,Sweet Baby James,Q745580,12,0,2,1970 studio album by James Taylor,,Q482994,,Sweet Baby James
Sweet Baby Jamev,Sweet Baby James,Q7655217,12,0,2,1970 song performed by James Taylor,,Q105543609,,Sweet Baby James (song)
Sweet Baby Jamev,Sweet Baby James,Q140174116,12,0,2,beer brewed by Tripping Animals Brewing Co.,,Q139801897,,
Sweet Baby Jamev,Sweet Baby James and Rob Eyers,Q7655218,12,0,2,Australian musical group,,Q215380,,Sweet Baby James and Rob Eyers
Sweet Baby Jamev,James Taylor,Q310300,12,0,2,American singer and guitarist,,Q5,,James Taylor
Sweet Baby Jamev,James Henry Taylor,Q6135927,12,0,2,American mathematician (1893–1972),James Taylor,Q5,,James Henry Taylor
Sweet Baby Jamev,James Taylor,Q37738042,12,0,2,"Born: 19 June 1851 in Keith, Scotland; Died: 29 January 1910 in Institution Place, Dollar, Scotland",,Q5,,
Sweet Baby Jamev,James Wickes Taylor,Q6145486,12,0,2,American diplomat (1819–1893),James Taylor|James W. Taylor,Q5,,James Wickes Taylor
Sweet Baby Jamev,James Taylor,Q6144052,12,0,2,businessman and political figure in New Brunswick,,Q5,,James Taylor (New Brunswick politician)
Sweet Baby Jamev,James Taylor,Q18877922,12,0,2,English linen draper and banker,,Q5,,
Sweet Baby Jamev,James Taylor,Q19325073,12,0,2,English mathematician and physicist (1902–1994),Sir James Taylor,Q5,,
Sweet Baby Jamev,James Arnold Taylor,Q2536187,12,0,2,American voice actor,James Taylor,Q5,,James Arnold Taylor
Sweet Baby Jamev,James Taylor,Q30362443,12,0,2,computational biologist,,Q5,,
Sweet Baby Jamev,James Knox Taylor,Q6137444,12,0,2,American architect (1857–1929),James Taylor,Q5,,James Knox Taylor
ThisFar,,,13,0,0,,,,,
Liv och kärlfk,,,14,0,0,,,,,
Homo apiens..?,human,Q5,15,0,2,"any single member of Homo sapiens, unique extant species of the genus Homo",human being|people|nonfictional human|non-fictional human|individual Homo sapiens|modern human,Q55983715,Q2250224|Q164509|Q154954|Q5891007,Human
Homo apiens..?,Homo sapiens,Q15978631,15,0,2,species of mammal,human being|human|man|men|human beings|humans,Q16521,Q171283,Homo sapiens
Homo apiens..?,human chromosome 1,Q430258,15,0,2,human chromosome,"chr1|Homo sapiens chromosome 1|Chromosomes, Human, Pair 1",Q37748,Q186380|Q9191254,Chromosome 1
Homo apiens..?,human chromosome 2,Q638893,15,0,2,human chromosome,"chr2|Homo sapiens chromosome 2|Chromosomes, Human, Pair 2",Q37748,Q186380|Q11690258,Chromosome 2
Homo apiens..?,human chromosome 3,Q668633,15,0,2,human chromosome,"chr3|Homo sapiens chromosome 3|Chromosomes, Human, Pair 3",Q37748,Q186380|Q9191254,Chromosome 3
Homo apiens..?,human chromosome 11,Q847096,15,0,2,human chromosome,"chr11|Homo sapiens chromosome 11|Chromosomes, Human, Pair 11",Q37748,Q186380|Q11690258,Chromosome 11
Homo apiens..?,human chromosome 17,Q220677,15,0,2,human chromosome,"chr17|Homo sapiens chromosome 17|Chromosomes, Human, Pair 17",Q37748,Q186380|Q11690258,Chromosome 17
Homo apiens..?,Homo Sapiens,Q116740127,15,0,2,podcast,Homo Sapiens Podcast,Q24634210,,
Homo apiens..?,human chromosome 7,Q657319,15,0,2,human chromosome,chr7|Homo sapiens chromosome 7,Q37748,Q186380|Q11690258,Chromosome 7
Homo apiens..?,human chromosome 19,Q510786,15,0,2,human chromosome,"chr19|Homo sapiens chromosome 19|Chromosomes, Human, Pair 19",Q37748,Q9191254,Chromosome 19
Homo apiens..?,Epstein–Barr virus,Q6900,15,0,2,virus of the herpes family,"human herpesvirus 4|Epstein-Barr virus|Human gammaherpesvirus 4|Herpesvirus 4, Human|EBV",Q16521,,Epstein–Barr virus
Homo apiens..?,Human Entertainment,Q2408214,15,0,2,Japanese video game developer and publisher,Human|Human Corporation,Q210167,,Human Entertainment
Homo apiens..?,human settlement,Q486972,15,0,2,"place of any size, in which people permanently live",settlement|inhabited place|human settlements|settlements,Q104086571|Q137018865,Q123964505|Q56061|Q2221906|Q18247357,Human settlement
Homo apiens..?,Human T-lymphotropic virus 1,Q1280388,15,0,2,human virus,Human T-cell lymphotropic virus type 1|Human T-cell lymphotropic virus 1|Human T-cell lymphotropic virus type I|Human T-cell lymphotropic virus I|Human T-lymphotropic virus I|adult T-cell lymphoma virus type 1|adult T-cell lymphoma virus type I|adult T-cell lymphoma virus 1|adult T-cell lymphoma virus I|adult T-cell leukemia virus type 1|adult T-cell leukemia virus type I|adult T-cell leukemia virus 1|adult T-cell leukemia virus I|HTLV-1|HTLV1|HTLV-I|HTLV 1|HTLV I|HTLVI|T-cell leukemia virus type 1|T-cell leukemia virus type I|ATL,Q848328,,Human T-lymphotropic virus 1
Homo apiens..?,female,Q6581072,15,0,2,"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person",woman|human female|female person|lady|female human|fairer sex|female gender|fem|f|women|girl|girls|female character,Q4369513|Q48264,Q99485732,Female (gender)
Homo apiens..?,clinical trial,Q30612,15,0,2,human subject research in medicine,clinical study|human subject research|clinical trials|clinical trials as topic,Q96273743,Q7247798|Q1331083|Q27166192|Q4892264|Q124222085,Clinical trial
Homo apiens..?,Human,Q5360808,15,0,2,Dutch broadcaster,Human (broadcaster),Q1781379|Q15265344,,Human (broadcaster)
Homo apiens..?,Human,Q19320962,15,0,2,2015 studio album by Three Days Grace,,Q482994,,Human (Three Days Grace album)
Homo apiens..?,Sapiens,Q3473155,15,0,2,1986 video game,,Q7889,,Sapiens (video game)
Homo apiens..?,Sapiens,Q37502545,15,0,2,family name,,Q101352,,
Homo apiens..?,Sapiens,Q122826215,15,0,2,2022 early access video game,,Q7889,,
Homo apiens..?,Sàpiens,Q3509762,15,0,2,,Sapiens,Q41298,,
Homo apiens..?,Surveys and perspectives integrating environment and society SAPIENS,Q3459029,15,0,2,journal,Surveys and Perspectives Integrating Environment & Society|SAPIENS,Q5633421|Q737498|Q773668,,
Homo apiens..?,Sapiens: A Brief History of Humankind,Q12411055,15,0,2,2011 non-fiction work by Yuval Noah Harari,A Brief History of Humankind|Brief History of Humankind,Q47461344,,Sapiens: A Brief History of Humankind
Homo apiens..?,Sapiens,Q107154304,15,0,2,ancient Roman cognomen,,Q777342,,
Homo apiens..?,Sapiens,Q115684624,15,0,2,Argentine academic journal,,Q5633421,,
Homo apiens..?,Sapiens: stručné dějiny lidstva,Q109713502,15,0,2,,,Q3331189,,
Homo apiens..?,Sapiens: úchvatný i úděsný příběh lidstva,Q109715539,15,0,2,2014 Czech book edition by Yuval Noah Harari,,Q3331189,,
The Sings The First Ten Years,The Sings View of Barred Galaxies,Q58922515,16,0,2,,,Q13442814,,
The Sings The First Ten Years,The Singscore: a macroinvertebrate biotic index for assessing the health of Singapore’s streams and canals,Q94113414,16,0,2,scientific article published in 2014,,Q13442814,,
The Sings The First Ten Years,The First Ten Years,Q1090980,16,0,2,1990 compilation box set by Iron Maiden,,Q482994,,The First Ten Years (box set)
The Sings The First Ten Years,The First Ten Years,Q7734066,16,0,2,1970 compilation album by Joan Baez,,Q482994,,The First Ten Years (Joan Baez album)
The Sings The First Ten Years,The First Ten Years,Q7734203,16,0,2,album by Vicious Rumors,,Q482994,,The First Ten Years (Vicious Rumors video)
The Sings The First Ten Years,The First Ten Years: The Videos,Q2278716,16,0,2,1990 music video compilation by Iron Maiden,,Q10590726,,The First Ten Years: The Videos
The Sings The First Ten Years,The First Ten Years,Q18160519,16,0,2,compilation album by Gabin,,Q482994,,The First Ten Years (Gabin album)
The Sings The First Ten Years,The First Ten Years (NAID 49592),Q66329322,16,0,2,item in the National Archives and Records Administration's holdings,,Q18593264,,
The Sings The First Ten Years,The First Ten Years,Q108298659,16,0,2,journal article from 'WSQ: Women's Studies Quarterly' published in 2016,,Q13442814,,
The Sings The First Ten Years,The first ten years,Q77135858,16,0,2,scientific article published on 01 June 1958,,Q13442814,,
The Sings The First Ten Years,The first ten years,Q41088915,16,0,2,scientific article published on June 1979,,Q13442814,,
The Sings The First Ten Years,"The first ten years: achievements and challenges of the Brazilian program of universal access to HIV/AIDS comprehensive management and care, 1996-2006.",Q36997187,16,0,2,scientific article published on January 2007,,Q13442814,,
he Peel Sessipn,,,17,0,0,,,,,
